source_slug,relationship,target_slug
absolute-monarchy,PRECEDED,constitutional-monarchy
absolute-monarchy,EMBODIED_BY,divine-right
absolute-monarchy,OPPOSED_BY,liberal-democracy
administrative-law,SUPPORTED,rule-of-law
administrative-law,ENABLED_BY,bureaucracy
administrative-law,STRUCTURED,public-administration
administrative-reform,RESPONDED_TO,bureaucratic-state
administrative-reform,ENABLED,transparency
administrative-reform,INFLUENCED,public-administration
administrative-state,EVOLVED_FROM,bureaucracy
administrative-state,ENABLED,technocracy
administrative-state,CHALLENGED_BY,populism
amendment,SUPPORTED_BY,constitution
amendment,ENABLED,constitutional-reform
amendment,STRUCTURED,legal-change
anarcho-communism,RESPONDED_TO,authoritarian-communism
anarcho-communism,CHALLENGED_BY,state-socialism
anarcho-communism,INSPIRED_BY,libertarianism
approval-rating,STRUCTURED_BY,public-opinion-polls
approval-rating,INFLUENCED_BY,media-coverage
approval-rating,REFLECTS,political-efficacy
aristocracy,PRECEDED,oligarchy
aristocracy,CHALLENGED_BY,meritocracy
authoritarian-capitalism,COMBINED,market-economy-and-centralized-authority
authoritarian-capitalism,OPPOSED_BY,liberal-democracy
authoritarian-capitalism,ENABLED,rapid-industrialization
authoritarianism,EVOLVED_INTO,totalitarianism
authoritarianism,ENABLED_BY,theocracy
autocracy,OPPOSED,democracy
autocracy,SUPPORTED_BY,tyranny
autonomous-region,EMERGED_FROM,devolution
autonomous-region,ENABLED_BY,ethnic-or-cultural-identity
autonomous-region,BALANCED,national-unity-and-local-control
ballot-access,ENABLED_BY,voting-rights
ballot-access,SUPPORTED,electoral-integrity
ballot-access,CHALLENGED_BY,voter-suppression
ballot-harvesting,ASSOCIATED_WITH,mail-in-voting
ballot-harvesting,CONTROVERSIAL_IN,electoral-integrity
ballot-harvesting,REGULATED_BY,electoral-law
ballot-initiative,ENABLED,direct-democracy
ballot-initiative,EMPOWERED,citizen-participation
ballot-initiative,CONTRASTED_WITH,representative-democracy
bicameral-legislature,STRUCTURED_BY,upper-and-lower-chambers
bicameral-legislature,CONTRASTED_WITH,unicameral-legislature
bicameral-legislature,SUPPORTED_BY,checks-and-balances
bureaucracy,SUPPORTED_BY,statecraft
bureaucracy,OPPOSED_BY,anarchy
cabinet,FORMED_BY,executive-branch
cabinet,RESPONSIBLE_TO,head-of-government
cabinet,STRUCTURED_BY,ministerial-system
campaign-ethics,GOVERNED_BY,electoral-commission
campaign-ethics,CHALLENGED_BY,dark-money
campaign-ethics,PROMOTED_BY,transparency-legislation
campaign-finance,REGULATED_BY,electoral-law
campaign-finance,INFLUENCES,campaign-strategy
