source_slug,relationship,target_slug
monarchy,INFLUENCED,constitutional-monarchy
aristocracy,PRECEDED,oligarchy
autocracy,OPPOSED,democracy
liberal-democracy,RESPONDED_TO,direct-democracy
rule-of-law,SUPPORTED,constitutional-monarchy
republic,INFLUENCED,democracy
democracy,EVOLVED_INTO,liberal-democracy
feudalism,PRECEDED,monarchy
tyranny,OPPOSED,rule-of-law
populism,INFLUENCED,illiberal-democracy
federalism,INFLUENCED,presidential-system
federalism,INFLUENCED,parliamentary-system
socialism,INFLUENCED,communism
capitalism,RESPONDED_TO,socialism
theocracy,ENABLED,authoritarianism
authoritarianism,EVOLVED_INTO,totalitarianism
communism,SUPPORTED,single-party-state
plutocracy,RELATED_TO,oligarchy
technocracy,OVERLAPS_WITH,authoritarianism
direct-democracy,SUPPORTED,participatory-democracy
participatory-democracy,EVOLVED_INTO,deliberative-democracy
liberal-democracy,CONTRASTED_BY,illiberal-democracy
imperialism,SUPPORTED,colonialism
neo-colonialism,EVOLVED_FROM,imperialism
