name,definition,category,slug
Monarchy,"A government ruled by a king or queen, often hereditary.",Political Systems & Governance,monarchy
Republic,A political system where power rests with elected representatives.,Political Systems & Governance,republic
Democracy,"A system of government by the whole population, usually through elected representatives.",Political Systems & Governance,democracy
Theocracy,A government system ruled by religious leaders or divine guidance.,Political Systems & Governance,theocracy
Oligarchy,"A government controlled by a small, powerful group.",Political Systems & Governance,oligarchy
Aristocracy,A form of government in which power is held by the nobility.,Political Systems & Governance,aristocracy
Tyranny,"Oppressive rule by a single, often cruel, authority.",Political Systems & Governance,tyranny
Feudalism,A medieval system based on land ownership and obligations.,Political Systems & Governance,feudalism
Federalism,A system where power is divided between a central and regional governments.,Political Systems & Governance,federalism
Anarchy,The absence of formal government or authority.,Political Systems & Governance,anarchy
Constitutional Monarchy,A monarchy limited by laws or a constitution.,Political Systems & Governance,constitutional-monarchy
Totalitarianism,A centralized government that seeks to control all aspects of life.,Political Systems & Governance,totalitarianism
Authoritarianism,Strong central power with limited political freedoms.,Political Systems & Governance,authoritarianism
Parliamentary System,A democratic form where the executive derives authority from the legislature.,Political Systems & Governance,parliamentary-system
Presidential System,A government led by a president who is separate from the legislature.,Political Systems & Governance,presidential-system
Autocracy,A system of government by one person with absolute power.,Political Systems & Governance,autocracy
Plutocracy,A society ruled or controlled by the wealthy.,Political Systems & Governance,plutocracy
Technocracy,Government by technical experts.,Political Systems & Governance,technocracy
Populism,Political ideas aiming to represent the common people.,Political Systems & Governance,populism
Nationalism,Loyalty and devotion to one's nation.,Political Systems & Governance,nationalism
Imperialism,A policy of extending a country’s power through colonization or conquest.,Political Systems & Governance,imperialism
Colonialism,"Control of one nation by another, often by settlement or exploitation.",Political Systems & Governance,colonialism
Neo-Colonialism,Indirect control through economic or political pressure.,Political Systems & Governance,neo-colonialism
Socialism,A political theory advocating state or collective ownership of production.,Political Systems & Governance,socialism
Communism,A classless system where property is owned communally.,Political Systems & Governance,communism
Capitalism,An economic system based on private ownership and free markets.,Political Systems & Governance,capitalism
Liberal Democracy,A representative democracy with protections for individual freedoms.,Political Systems & Governance,liberal-democracy
Direct Democracy,A system where citizens vote directly on laws.,Political Systems & Governance,direct-democracy
Military Junta,A government led by military officers.,Political Systems & Governance,military-junta
Illiberal Democracy,A regime with elections but lacking civil liberties.,Political Systems & Governance,illiberal-democracy
Single-party State,A system where only one political party is allowed to govern.,Political Systems & Governance,single-party-state
Multi-party System,A system with multiple political parties competing for power.,Political Systems & Governance,multi-party-system
Coalition Government,A government formed by multiple political parties sharing power.,Political Systems & Governance,coalition-government
Rule of Law,The principle that all members of society are equally subject to the law.,Political Systems & Governance,rule-of-law
Checks and Balances,Mechanisms to prevent one branch of government from becoming too powerful.,Political Systems & Governance,checks-and-balances
Separation of Powers,Division of government responsibilities into distinct branches.,Political Systems & Governance,separation-of-powers
Judicial Review,The power of courts to invalidate laws conflicting with a constitution.,Political Systems & Governance,judicial-review
Electoral College,A body of representatives that formally elects the president.,Political Systems & Governance,electoral-college
Participatory Democracy,A model emphasizing broad participation in political decision-making.,Political Systems & Governance,participatory-democracy
Deliberative Democracy,A system focused on reasoned debate before decisions are made.,Political Systems & Governance,deliberative-democracy
Majoritarianism,The majority’s preference takes precedence in governance.,Political Systems & Governance,majoritarianism
Consensus Democracy,A system aiming for broad agreement among diverse groups.,Political Systems & Governance,consensus-democracy
Bureaucracy,A system of administration marked by officialism and fixed rules.,Political Systems & Governance,bureaucracy
Civic Virtue,Moral standards expected of citizens in a republic.,Political Systems & Governance,civic-virtue
Democratic Centralism,A Leninist principle combining central leadership with internal democracy.,Political Systems & Governance,democratic-centralism
One-man Rule,A government dominated by a single individual.,Political Systems & Governance,one-man-rule
Hybrid Regime,A government combining democratic and authoritarian elements.,Political Systems & Governance,hybrid-regime
Digital Governance,Use of technology in delivering government services.,Political Systems & Governance,digital-governance
Cyber Democracy,Digital platforms enabling political participation.,Political Systems & Governance,cyber-democracy
Representative Democracy,A form of democracy where citizens elect officials to make decisions on their behalf.,Political Systems & Governance,representative-democracy
Absolute Monarchy,A monarchy where the ruler holds supreme authority not restricted by laws or legislature.,Political Systems & Governance,absolute-monarchy
Martial Law,Temporary rule by military authorities during emergencies or unrest.,Political Systems & Governance,martial-law
Suffrage,The right to vote in political elections.,Political Systems & Governance,suffrage
Habeas Corpus,A legal principle that protects individuals from unlawful detention.,Political Systems & Governance,habeas-corpus
Civil Liberties,Fundamental rights and freedoms protected from government interference.,Political Systems & Governance,civil-liberties
Electoral System,The method by which votes are counted and representatives are selected.,Political Systems & Governance,electoral-system
Parliament,A legislative body responsible for making laws and overseeing the government.,Political Systems & Governance,parliament
Legitimacy,"The recognized right to rule, often derived from law, tradition, or consent.",Political Systems & Governance,legitimacy
Devolution,The transfer of powers from a central government to regional or local governments.,Political Systems & Governance,devolution
Nation-State,A sovereign state whose citizens share common cultural or national identity.,Political Systems & Governance,nation-state
Autonomous Region,A region with a degree of self-governance separate from the central authority.,Political Systems & Governance,autonomous-region
Civil Society,Organizations and institutions that operate independently of the government.,Political Systems & Governance,civil-society
Judiciary,The branch of government responsible for interpreting laws and administering justice.,Political Systems & Governance,judiciary
Legislature,The branch of government that creates laws.,Political Systems & Governance,legislature
Executive Branch,The part of government responsible for implementing laws and managing operations.,Political Systems & Governance,executive-branch
Unicameral Legislature,A legislative body with a single chamber.,Political Systems & Governance,unicameral-legislature
Bicameral Legislature,A legislature composed of two separate chambers or houses.,Political Systems & Governance,bicameral-legislature
Government Accountability,The obligation of officials to be answerable for their actions.,Political Systems & Governance,government-accountability
Transparency,Openness in government operations and decision-making.,Political Systems & Governance,transparency
Constitution,A foundational legal document outlining a government’s structure and principles.,Political Systems & Governance,constitution
Amendment,A formal change or addition proposed or made to a constitution or law.,Political Systems & Governance,amendment
Petition,A formal written request to an authority for action or redress.,Political Systems & Governance,petition
Civil Disobedience,Refusal to obey certain laws as a peaceful form of political protest.,Political Systems & Governance,civil-disobedience
Judicial Independence,The principle that the judiciary should be free from external influence.,Political Systems & Governance,judicial-independence
Recall Election,A process by which voters can remove an elected official from office.,Political Systems & Governance,recall-election
Referendum,A direct vote by the electorate on a specific proposal or issue.,Political Systems & Governance,referendum
Initiative,A process allowing citizens to propose laws or amendments for a public vote.,Political Systems & Governance,initiative
Constituency,A body of voters in a specified area who elect a representative.,Political Systems & Governance,constituency
Gerrymandering,Manipulating electoral district boundaries to favor a political party.,Political Systems & Governance,gerrymandering
Impeachment,The process of charging a public official with misconduct.,Political Systems & Governance,impeachment
Veto Power,The authority to reject a decision or proposal made by a law-making body.,Political Systems & Governance,veto-power
Cabinet,"A group of high-ranking government officials, typically heading executive departments.",Political Systems & Governance,cabinet
Shadow Cabinet,A group of opposition members who scrutinize and propose alternatives to current policies.,Political Systems & Governance,shadow-cabinet
Political Party,An organized group seeking to gain power through elections.,Political Systems & Governance,political-party
Party Platform,A set of principles and policies endorsed by a political party.,Political Systems & Governance,party-platform
Campaign Finance,Funds raised and spent to influence political campaigns.,Political Systems & Governance,campaign-finance
Lobbying,Attempting to influence government decisions by advocacy groups.,Political Systems & Governance,lobbying
Term Limit,A legal restriction on the number of terms an elected official can serve.,Political Systems & Governance,term-limit
Incumbent,A person currently holding a political office.,Political Systems & Governance,incumbent
Opposition,Political parties or groups that challenge the policies of those in power.,Political Systems & Governance,opposition
Non-Governmental Organization,An independent group that addresses social or political issues.,Political Systems & Governance,non-governmental-organization
Public Policy,The principles guiding government action and decisions.,Political Systems & Governance,public-policy
Administrative Law,Legal rules governing the actions of government agencies.,Political Systems & Governance,administrative-law
State of Emergency,A condition allowing the government to take extraordinary actions.,Political Systems & Governance,state-of-emergency
Whistleblower,A person who exposes wrongdoing within an organization.,Political Systems & Governance,whistleblower
Transparency International,A global NGO fighting corruption and promoting accountability.,Political Systems & Governance,transparency-international
Universal Suffrage,"The right of all adult citizens to vote, regardless of status.",Political Systems & Governance,universal-suffrage
Proportional Representation,An electoral system where seats are allocated based on vote share.,Political Systems & Governance,proportional-representation
First-Past-the-Post,An electoral system where the candidate with the most votes wins.,Political Systems & Governance,first-past-the-post
Decree,An official order issued by a legal authority.,Political Systems & Governance,decree
Plebiscite,A direct vote by the electorate on an important public question.,Political Systems & Governance,plebiscite
Mandate,"An official order or commission to do something, especially in governance.",Political Systems & Governance,mandate
Coup d'état,"A sudden, violent overthrow of an existing government.",Political Systems & Governance,coup-d-tat
Political Ideology,A set of beliefs about the best political system or policy approach.,Political Systems & Governance,political-ideology
Power Vacuum,A condition where there is no clear authority or leadership.,Political Systems & Governance,power-vacuum
Bureaucratic State,A state characterized by a rigid and complex administrative system.,Political Systems & Governance,bureaucratic-state
Patronage,The power to give government jobs to supporters and allies.,Political Systems & Governance,patronage
Incumbency Advantage,The benefit enjoyed by existing office holders during elections.,Political Systems & Governance,incumbency-advantage
Factionalism,Internal divisions within a political party or movement.,Political Systems & Governance,factionalism
Caucus,A meeting of party members to select candidates or decide policy.,Political Systems & Governance,caucus
Ballot Initiative,A process that allows citizens to propose legislation by petition.,Political Systems & Governance,ballot-initiative
Political Gridlock,A situation where differing parties prevent progress in governance.,Political Systems & Governance,political-gridlock
Government Shutdown,A closure of non-essential government services due to lack of funding.,Political Systems & Governance,government-shutdown
Constitutional Crisis,A situation where constitutional provisions are unable to resolve political disputes.,Political Systems & Governance,constitutional-crisis
Ministerial Responsibility,The accountability of ministers to the legislature for their actions.,Political Systems & Governance,ministerial-responsibility
Red Tape,Excessive bureaucracy or adherence to official rules.,Political Systems & Governance,red-tape
Home Rule,Limited self-government granted to a dependent political unit.,Political Systems & Governance,home-rule
Vote of No Confidence,A legislative vote showing that the majority does not support the executive.,Political Systems & Governance,vote-of-no-confidence
Legislative Deadlock,Failure of legislative bodies to agree on proposed laws.,Political Systems & Governance,legislative-deadlock
Political Legitimacy,The rightful authority of a government as accepted by the people.,Political Systems & Governance,political-legitimacy
Political Capital,"The trust, goodwill, and influence a politician has to push policies.",Political Systems & Governance,political-capital
Statutory Law,Laws formally written and enacted by legislative bodies.,Political Systems & Governance,statutory-law
Ordinance,A local law enacted by a municipal government.,Political Systems & Governance,ordinance
Constituent Assembly,A body elected to draft or adopt a new constitution.,Political Systems & Governance,constituent-assembly
Administrative State,A government heavily run through its bureaucratic institutions.,Political Systems & Governance,administrative-state
Policy Window,A moment when conditions allow for significant policy change.,Political Systems & Governance,policy-window
Filibuster,A tactic for delaying legislative action by prolonged speech.,Political Systems & Governance,filibuster
Quorum,The minimum number of members required to conduct official business.,Political Systems & Governance,quorum
Political Efficacy,Belief that one’s political participation makes a difference.,Political Systems & Governance,political-efficacy
Political Polarization,Sharp division of political attitudes to ideological extremes.,Political Systems & Governance,political-polarization
State Sovereignty,The principle that states have the right to govern themselves independently.,Political Systems & Governance,state-sovereignty
Power Sharing,A political arrangement in which different groups share authority.,Political Systems & Governance,power-sharing
Electoral Threshold,The minimum share of votes required to win representation.,Political Systems & Governance,electoral-threshold
Caretaker Government,An interim government managing affairs until a new one is formed.,Political Systems & Governance,caretaker-government
Political Realignment,A major shift in the political system or party dominance.,Political Systems & Governance,political-realignment
Political Dynasty,A family that maintains political power across generations.,Political Systems & Governance,political-dynasty
Constitutional Amendment,A formal change made to a constitution.,Political Systems & Governance,constitutional-amendment
Gubernatorial Power,Authority exercised by a governor.,Political Systems & Governance,gubernatorial-power
Voting Rights,Legal rights protecting individuals' ability to participate in elections.,Political Systems & Governance,voting-rights
Secret Ballot,Voting method ensuring anonymity.,Political Systems & Governance,secret-ballot
Electoral Reform,Changes aimed at improving the electoral process.,Political Systems & Governance,electoral-reform
Public Administration,The implementation of government policy by civil servants.,Political Systems & Governance,public-administration
Pluralism,A political system recognizing diverse interests and groups.,Political Systems & Governance,pluralism
Clientelism,Political support given in exchange for material benefits.,Political Systems & Governance,clientelism
Electoral Integrity,The extent to which elections are free and fair.,Political Systems & Governance,electoral-integrity
Judicial Activism,When judges are perceived to create law through rulings.,Political Systems & Governance,judicial-activism
Legislative Oversight,Legislature’s monitoring of executive branch activities.,Political Systems & Governance,legislative-oversight
State Capture,Corruption where private interests dominate public policy.,Political Systems & Governance,state-capture
Motion of Censure,A formal statement of disapproval toward a government or official.,Political Systems & Governance,motion-of-censure
Political Spectrum,A system for classifying different political positions across ideologies.,Political Systems & Governance,political-spectrum
Left-wing Politics,Political positions that advocate social equality and government intervention.,Political Systems & Governance,left-wing-politics
Right-wing Politics,"Political positions that emphasize tradition, hierarchy, and limited government.",Political Systems & Governance,right-wing-politics
Centrism,Political ideology focused on moderation and avoiding extremes.,Political Systems & Governance,centrism
Progressivism,A philosophy advocating social reform and advancement.,Political Systems & Governance,progressivism
Conservatism,A political philosophy promoting traditional values and institutions.,Political Systems & Governance,conservatism
Libertarianism,An ideology emphasizing individual freedom and limited government.,Political Systems & Governance,libertarianism
Green Politics,A movement focusing on environmental issues and social justice.,Political Systems & Governance,green-politics
Syndicalism,A movement advocating worker control of industry through trade unions.,Political Systems & Governance,syndicalism
Anarcho-Communism,A stateless society based on voluntary cooperation and shared ownership.,Political Systems & Governance,anarcho-communism
Theocratic Republic,A republic governed under religious principles and leaders.,Political Systems & Governance,theocratic-republic
Transitional Government,An interim regime managing state affairs before permanent governance.,Political Systems & Governance,transitional-government
