slug,name,startYear,endYear,region,scope,category
axial-age-transformations-asia,Axial Age Transformations in Asia,-800,200,Asia,continent,Cultural Exchange & Diffusion
silk-road-integration-early,Silk Road Integration (Early Phase),-130,300,Asia,continent,Cultural Exchange & Diffusion
silk-road-revival-tang,Silk Road Revival (Tang & After),600,900,Asia,continent,Cultural Exchange & Diffusion
maritime-silk-road-expansion-asia,Maritime Silk Road Expansion,200,1500,Asia,continent,Cultural Exchange & Diffusion
european-maritime-encounters-asia,European Maritime Encounters & Impact,1500,1800,Asia,continent,Cultural Exchange & Diffusion
pan-asian-pop-culture-flows,Pan-Asian Pop-Culture Flows,2000,2025,Asia,continent,Cultural Exchange & Diffusion
hellenistic-central-asia,Hellenistic Influence in Central Asia,-323,-50,Central Asia,region,Cultural Exchange & Diffusion
oil-boom-gulf-states,Oil Boom in Gulf States,1973,1985,West Asia,subregion,Economic Integration & Trade Network
print-culture-expansion-asia,Print Culture Expansion in Asia,1500,1900,Asia,continent,Education & Knowledge
higher-education-expansion-asia,Higher-Education Expansion,2000,2025,Asia,continent,Education & Knowledge
education-automation-shift-asia,Education→Automation Shift,2010,2025,Asia,continent,Education & Knowledge
higher-ed-mobility-asia,Pan-Asian Higher-Ed Mobility,2005,2020,Asia,continent,Education & Knowledge
renewable-energy-surge-asia,Renewable Energy Surge in Asia,2015,2025,Asia,continent,Energy & Resources
hydrogen-ev-transition-asia,Hydrogen & EV Transition,2018,2025,Asia,continent,Energy & Resources
last-glacial-maximum-adaptations-asia,Last Glacial Maximum Adaptations in Asia,-26000,-19000,Asia,continent,Environment & Climate
little-ice-age-asia,Little Ice Age Impacts in Asia,1300,1850,Asia,continent,Environment & Climate
climate-heatwaves-adaptation-asia,Climate Heatwaves & Adaptation,2010,2025,Asia,continent,Environment & Climate
hydropolitics-mega-dams-asia,Hydropolitics & Mega-Dams,1950,2025,Asia,continent,Environment & Climate
air-quality-crises-policy-asia,Air-Quality Crises & Policy Turns,2013,2020,Asia,continent,Environment & Climate
climate-ndc-pledges-asia,Pan-Asian Climate NDC Pledges,2015,2025,Asia,continent,Environment & Climate
coinage-and-monetization-asia,Coinage & Monetization Spread in Asia,-650,200,Asia,continent,Finance & Monetary
monetary-paper-money-innovations-asia,Paper Money & Monetary Innovations,1000,1400,Asia,continent,Finance & Monetary
global-silver-flows-to-asia,Global Silver Flows into Asia,1570,1800,Asia,continent,Finance & Monetary
islamic-finance-rise-asia,Rise of Islamic Finance in Asia,1975,2015,Asia,continent,Finance & Monetary
asian-financial-crisis,Asian Financial Crisis,1997,1999,Asia,continent,Finance & Monetary
fintech-mobile-money-asia,Fintech & Mobile Money,2014,2025,Asia,continent,Finance & Monetary
microfinance-expansion-asia,Microfinance Expansion,1997,2012,Asia,continent,Finance & Monetary
cashless-economy-push-asia,Cashless Economy Push,2016,2025,Asia,continent,Finance & Monetary
covid-recovery-stimulus-asia,COVID-19 Recovery Stimulus,2020,2022,Asia,continent,Finance & Monetary
digital-taxation-asia,Cross-Border Digital Taxation,2019,2025,Asia,continent,Finance & Monetary
payments-interoperability-asia,Payments Interoperability Standards,2018,2025,Asia,continent,Finance & Monetary
environmental-regulation-tightening-asia,Environmental Regulation Tightening,2005,2025,Asia,continent,Governance & Regulation
