start_slug,verb,end_slug,raw_line
henry_viii,PETITIONS,papacy,- (Henry_VIII) PETITIONS (Papacy) — Annulment_Proceedings
thomas_cranmer,DECLARES,annulment_proceedings,- (Thomas_Cranmer) DECLARES (Annulment_Proceedings)
english_parliament,PROMULGATES,act_of_supremacy_1534,- (English_Parliament) PROMULGATES (Act_of_Supremacy_1534)
royal_court,ORGANIZES,dissolution_of_the_monasteries,- (Royal_Court) ORGANIZES (Dissolution_of_the_Monasteries)
anne_boleyn,INFLUENCES,break_with_rome,- (Anne_Boleyn) INFLUENCES (Break_with_Rome)
catherine_of_aragon,DISPUTES,annulment_proceedings,- (Catherine_of_Aragon) DISPUTES (Annulment_Proceedings)
ecclesiastical_courts_england,ORGANIZES,annulment_proceedings,- (Ecclesiastical_Courts_England) ORGANIZES (Annulment_Proceedings)
thomas_cromwell,ORGANIZES,dissolution_of_the_monasteries,- (Thomas_Cromwell) ORGANIZES (Dissolution_of_the_Monasteries)
english_parliament,PROMULGATES,six_articles_1539,- (English_Parliament) PROMULGATES (Six_Articles_1539)
royal_court,DECLARES,royal_injunctions_1536,- (Royal_Court) DECLARES (Royal_Injunctions_1536)
royal_court,DECLARES,royal_injunctions_1538,- (Royal_Court) DECLARES (Royal_Injunctions_1538)
court_of_augmentations,ADMINISTERS,dissolution_of_the_monasteries,- (Court_of_Augmentations) ADMINISTERS (Dissolution_of_the_Monasteries)
papacy,EXCOMMUNICATES,henry_viii,- (Papacy) EXCOMMUNICATES (Henry_VIII)
church_of_england,APPOINTS,thomas_cranmer,- (Church_of_England) APPOINTS (Thomas_Cranmer)
pope_clement_vii,CORRESPONDS_WITH,henry_viii,- (Pope_Clement_VII) CORRESPONDS_WITH (Henry_VIII)
act_of_supremacy_passage,TRANSFORMS,church_of_england,- (Act_of_Supremacy_Passage) TRANSFORMS (Church_of_England)
church_of_england,STANDARDIZES,royal_supremacy,- (Church_of_England) STANDARDIZES (Royal_Supremacy)
royal_supremacy,REJECTS,papal_supremacy,- (Royal_Supremacy) REJECTS (Papal_Supremacy)
ten_articles_1536,DEFINES,royal_supremacy,- (Ten_Articles_1536) DEFINES (Royal_Supremacy)
bishops_book_1537,DEFINES,royal_supremacy,- (Bishops_Book_1537) DEFINES (Royal_Supremacy)
six_articles_1539,DEFINES,royal_supremacy,- (Six_Articles_1539) DEFINES (Royal_Supremacy)
great_bible_1539,TRANSMITS,english_bible_translation,- (Great_Bible_1539) TRANSMITS (English_Bible_Translation)
act_of_supremacy_1534,ENABLES,act_of_supremacy_passage,- (Act_of_Supremacy_1534) ENABLES (Act_of_Supremacy_Passage)
cranmer_annulment_decree,FRAMES,annulment_proceedings,- (Cranmer_Annulment_Decree) FRAMES (Annulment_Proceedings)
royal_injunctions_1538,ENABLES,parish_bible_installations,- (Royal_Injunctions_1538) ENABLES (Parish_Bible_Installations)
valor_ecclesiasticus_1535,FRAMES,dissolution_of_the_monasteries,- (Valor_Ecclesiasticus_1535) FRAMES (Dissolution_of_the_Monasteries)
act_of_supremacy_passage,OCCURS_IN,london,- (Act_of_Supremacy_Passage) OCCURS_IN (London)
annulment_proceedings,OCCURS_IN,rome,- (Annulment_Proceedings) OCCURS_IN (Rome)
