id,start_slug,type,end_slug,description,status
67,church_of_england,PROMULGATES,book_of_homilies_1547,Church of England promulgates the Book of Homilies (1547),PROPOSED
68,thomas_cranmer,LEADS,prayer_book_reform,Thomas Cranmer leads the Prayer Book Reform,PROPOSED
69,john_dudley_northumberland,ORGANIZES,doctrinal_articles_promulgation,John Dudley (Northumberland) organizes the Doctrinal Articles promulgation,PROPOSED
70,edward_seymour_somerset,LEADS,prayer_book_reform,Edward Seymour (Somerset) leads aspects of the Prayer Book Reform,PROPOSED
71,book_of_common_prayer_1552,STANDARDIZES,protestant_doctrine_in_england,Book of Common Prayer (1552) helps standardize Protestant doctrine in England,PROPOSED
72,book_of_homilies_1547,TRANSMITS,protestant_doctrine_in_england,Book of Homilies (1547) transmits Protestant doctrine in England,PROPOSED
73,edward_vi,ENDORSES,protestant_doctrine_in_england,Edward VI endorses Protestant doctrine in England,PROPOSED
74,doctrinal_articles_promulgation,OCCURS_IN,london,Doctrinal Articles promulgation occurs in London,PROPOSED
75,western_rebellion_1549,OCCURS_IN,devon,Western Rebellion (1549) occurs in Devon,PROPOSED
76,western_rebellion_1549,OCCURS_IN,cornwall,Western Rebellion (1549) occurs in Cornwall,PROPOSED
77,ketts_rebellion_1549,OCCURS_IN,norfolk,Ketts Rebellion (1549) occurs in Norfolk,PROPOSED
78,roman_catholic_church,PARDONS,english_realm,Roman Catholic Church pardons the English realm (reconciliation context),PROPOSED
79,mary_i,DECLARES,reconciliation_with_rome,Mary I declares the reconciliation with Rome,PROPOSED
80,reginald_pole,ORGANIZES,reconciliation_with_rome,Reginald Pole organizes the reconciliation with Rome,PROPOSED
81,reconciliation_with_rome,TRANSFORMS,church_of_england,Reconciliation with Rome transforms the Church of England,PROPOSED
82,heresy_persecutions,CENSORS,protestant_doctrine_in_england,Heresy persecutions censor Protestant doctrine in England,PROPOSED
83,heresy_persecutions,OCCURS_IN,london,Heresy persecutions occur in London,PROPOSED
84,wyatts_rebellion_1554,OCCURS_IN,london,Wyatt's Rebellion (1554) occurs in London,PROPOSED
85,oxford_martyrs_1555_1556,OCCURS_IN,oxford,Oxford Martyrs (1555–1556) occur in Oxford,PROPOSED
86,pole_reconciliation_decrees,FRAMES,reconciliation_with_rome,Pole Reconciliation Decrees frame the reconciliation with Rome,PROPOSED
87,heresy_acts,ENABLES,heresy_persecutions,Heresy Acts enable heresy persecutions,PROPOSED
88,mary_i,ENDORSES,catholic_restoration,Mary I endorses the Catholic Restoration,PROPOSED
89,reconciliation_with_rome,OCCURS_IN,rome,Reconciliation with Rome occurs in Rome,PROPOSED
90,english_parliament,PROMULGATES,act_of_uniformity_1559,English Parliament promulgates the Act of Uniformity (1559),PROPOSED
91,church_of_england,PROMULGATES,thirty_nine_articles_1563,Church of England promulgates the Thirty-Nine Articles (1563),PROPOSED
92,church_of_england,PROMULGATES,book_of_homilies_1571,Church of England promulgates the Book of Homilies (1571),PROPOSED
93,court_of_high_commission,CENSORS,recusant_catholicism,Court of High Commission censors Recusant Catholicism,PROPOSED
94,star_chamber,CENSORS,martin_marprelate_controversy_1588_1589,Star Chamber censors the Martin Marprelate Controversy (1588–1589),PROPOSED
95,thirty_nine_articles_1563,STANDARDIZES,via_media,Thirty-Nine Articles (1563) standardizes aspects of the Via Media,PROPOSED
96,bishops_bible_1568,TRANSMITS,via_media,Bishops' Bible (1568) transmits aspects of the Via Media,PROPOSED
97,geneva_bible_1560,TRANSMITS,puritan_movement,Geneva Bible (1560) transmits material used by the Puritan Movement,PROPOSED
98,rheims_new_testament_1582,TRANSMITS,recusant_catholicism,Rheims New Testament (1582) transmits texts supporting Recusant Catholicism,PROPOSED
99,acts_and_monuments_1563,FRAMES,marian_persecutions,Acts and Monuments (1563) frames Marian persecutions,PROPOSED
100,elizabeth_i,ENDORSES,via_media,Elizabeth I endorses the Via Media,PROPOSED
101,matthew_parker,ENDORSES,via_media,Matthew Parker endorses the Via Media,PROPOSED
102,richard_hooker,ENDORSES,via_media,Richard Hooker endorses the Via Media,PROPOSED
103,edmund_grindal,DISPUTES,jesuit_mission_in_england,Edmund Grindal disputes aspects of the Jesuit Mission in England,PROPOSED
104,puritan_movement,DISPUTES,via_media,Puritan Movement disputes the Via Media,PROPOSED
105,recusant_catholicism,DISPUTES,via_media,Recusant Catholicism disputes the Via Media,PROPOSED
106,settlement_passage,OCCURS_IN,london,Settlement Passage occurs in London,PROPOSED
107,vestiarian_controversy_1566,OCCURS_IN,london,Vestiarian Controversy (1566) occurs in London,PROPOSED
108,northern_rebellion_1569,OCCURS_IN,york,Northern Rebellion (1569) occurs in York,PROPOSED
109,regnans_in_excelsis_1570,OCCURS_IN,rome,Regnans in Excelsis (1570) is associated with Rome,PROPOSED
110,seminary_priests_mission_1580s,OCCURS_IN,rheims,Seminary Priests Mission (1580s) is connected to Rheims,PROPOSED
111,jesuit_mission_1580s,OCCURS_IN,douai,Jesuit Mission (1580s) is connected to Douai,PROPOSED
112,execution_of_mary_queen_of_scots_1587,OCCURS_IN,london,Execution of Mary Queen of Scots (1587) occurs in London,PROPOSED
113,spanish_armada_1588,OCCURS_IN,london,Spanish Armada (1588) is associated with events in London,PROPOSED
114,martin_marprelate_controversy_1588_1589,OCCURS_IN,london,Martin Marprelate Controversy (1588–1589) occurs in London,PROPOSED
115,english_seminaries_douai_rheims,ORGANIZES,seminary_priests_mission_1580s,"English seminaries (Douai, Rheims) organize the Seminary Priests Mission (1580s)",PROPOSED
116,privy_council,DECLARES,recusancy_fines_regime,Privy Council declares the Recusancy Fines Regime,PROPOSED
