p
"(:Idea {name: Statutory Law, definition: Laws formally written and enacted by legislative bodies., category: Political Systems & Governance, slug: statutory-law})-[:RECORDED_AS {framework: Idea Evolution}]->(:Idea {name: Codified Law, definition: A written and organized set of legal statutes that govern society., category: Political Systems & Governance, slug: codified-law})"
"(:Idea {name: Imperialism, definition: A policy of extending a country’s power through colonization or conquest., category: Political Systems & Governance, slug: imperialism})-[:SUPPORTS {framework: Idea Evolution}]->(:Idea {name: Colonialism, definition: Control of one nation by another, often by settlement or exploitation., category: Political Systems & Governance, slug: colonialism})"
"(:Idea {name: Democratic Centralism, definition: A Leninist principle combining central leadership with internal democracy., category: Political Systems & Governance, slug: democratic-centralism})-[:IMPLEMENTED_IN {framework: Idea Evolution}]->(:Idea {name: Communist Party Structure, definition: The organizational framework of a ruling or influential communist party., category: Political Systems & Governance, slug: communist-party-structure})"
"(:Idea {name: Political Socialization, definition: The process by which individuals acquire political beliefs and values., category: Political Systems & Governance, slug: political-socialization})-[:PREPARES {framework: Idea Evolution}]->(:Idea {name: Citizenship, definition: Legal status granting an individual rights and responsibilities within a political community., category: Political Systems & Governance, slug: citizenship})"
"(:Idea {name: Upper and Lower Chambers, definition: The two houses of a bicameral legislature, typically with different roles or powers., category: Political Systems & Governance, slug: upper-and-lower-chambers})-[:STRUCTURES {framework: Institutional Codification}]->(:Idea {name: Bicameral Legislature, definition: A legislature composed of two separate chambers or houses., category: Political Systems & Governance, slug: bicameral-legislature})"
"(:Idea {name: Checks and Balances, definition: Mechanisms to prevent one branch of government from becoming too powerful., category: Political Systems & Governance, slug: checks-and-balances})-[:SUPPORTS {framework: Idea Evolution}]->(:Idea {name: Bicameral Legislature, definition: A legislature composed of two separate chambers or houses., category: Political Systems & Governance, slug: bicameral-legislature})"
"(:Idea {name: Unicameral Legislature, definition: A legislative body with a single chamber., category: Political Systems & Governance, slug: unicameral-legislature})-[:CONTRASTED_WITH {framework: Idea Evolution}]->(:Idea {name: Bicameral Legislature, definition: A legislature composed of two separate chambers or houses., category: Political Systems & Governance, slug: bicameral-legislature})"
"(:Idea {name: Legislative Calendar, definition: The schedule outlining dates for parliamentary sessions., category: Political Systems & Governance, slug: legislative-calendar})-[:AFFECTS {framework: Idea Evolution}]->(:Idea {name: Bill Debate Timing, definition: The scheduled time for legislative discussions on proposed laws., category: Political Systems & Governance, slug: bill-debate-timing})"
"(:Idea {name: Political Polarization, definition: Sharp division of political attitudes to ideological extremes., category: Political Systems & Governance, slug: political-polarization})-[:HINDERS {framework: Idea Evolution}]->(:Idea {name: Bipartisanship, definition: Cooperation between major political parties to pass legislation or govern effectively., category: Political Systems & Governance, slug: bipartisanship})"
"(:Idea {name: Anarchy, definition: The absence of formal government or authority., category: Political Systems & Governance, slug: anarchy})-[:OPPOSES {framework: Conflict and Resolution}]->(:Idea {name: Bureaucracy, definition: A system of administration marked by officialism and fixed rules., category: Political Systems & Governance, slug: bureaucracy})"
"(:Idea {name: Statecraft, definition: The skillful management of state affairs and governance, including diplomacy, strategy, and administration., category: Political Systems & Governance, slug: statecraft})-[:SUPPORTS {framework: Institutional Codification}]->(:Idea {name: Bureaucracy, definition: A system of administration marked by officialism and fixed rules., category: Political Systems & Governance, slug: bureaucracy})"
"(:Idea {name: Technocracy, definition: Government by technical experts., category: Political Systems & Governance, slug: technocracy})-[:EVOLVED_FROM {framework: Idea Evolution}]->(:Idea {name: Bureaucracy, definition: A system of administration marked by officialism and fixed rules., category: Political Systems & Governance, slug: bureaucracy})"
"(:Idea {name: Digital Governance, definition: Use of technology in delivering government services., category: Political Systems & Governance, slug: digital-governance})-[:EVOLVED_FROM {framework: Idea Evolution}]->(:Idea {name: Bureaucracy, definition: A system of administration marked by officialism and fixed rules., category: Political Systems & Governance, slug: bureaucracy})"
