name,definition,category,slug
Absentee Voting,A voting method that allows citizens to vote without being physically present at the polling station.,Political Systems & Governance,absentee-voting
Absolute Monarchy,A monarchy where the ruler holds supreme authority not restricted by laws or legislature.,Political Systems & Governance,absolute-monarchy
Access to Resources,"The availability of financial, institutional, or informational support for political actors or institutions.",Political Systems & Governance,access-to-resources
Accountability,The obligation of political actors to answer for their actions and decisions to the public and institutions.,Political Systems & Governance,accountability
Accountability and Effectiveness,Measures of how well governments perform and respond to public needs while being held responsible.,Political Systems & Governance,accountability-and-effectiveness
Administrative Efficiency,The ability of bureaucracies and institutions to function with minimal waste and high productivity.,Political Systems & Governance,administrative-efficiency
Administrative Law,Legal rules governing the actions of government agencies.,Political Systems & Governance,administrative-law
Administrative Reform,Changes aimed at improving efficiency in public administration.,Political Systems & Governance,administrative-reform
Administrative State,A government heavily run through its bureaucratic institutions.,Political Systems & Governance,administrative-state
AI-Powered Assistants,Technological tools using artificial intelligence to support digital governance and decision-making.,Political Systems & Governance,ai-powered-assistants
Alternative Government,A proposed or informal governing body created by the opposition as a counter to the ruling government.,Political Systems & Governance,alternative-government
Alternative Policies,Policy proposals or solutions offered by political actors outside of the current administration.,Political Systems & Governance,alternative-policies
Amendment,A formal change or addition proposed or made to a constitution or law.,Political Systems & Governance,amendment
Anarcho-Communism,A stateless society based on voluntary cooperation and shared ownership.,Political Systems & Governance,anarcho-communism
Anarchy,The absence of formal government or authority.,Political Systems & Governance,anarchy
Anti-Corruption,"Efforts and measures aimed at preventing, detecting, and punishing corruption in governance.",Political Systems & Governance,anti-corruption
Anti-Corruption Reform,Legislative and institutional changes intended to reduce corruption in public administration.,Political Systems & Governance,anti-corruption-reform
Anti-Discrimination Laws,Legislation designed to protect individuals and groups from unfair treatment based on identity.,Political Systems & Governance,anti-discrimination-laws
Approval Rating,A measure of public support for a political figure.,Political Systems & Governance,approval-rating
Aristocracy,A form of government in which power is held by the nobility.,Political Systems & Governance,aristocracy
Auditing Agencies,Organizations responsible for examining the use of public funds to ensure transparency and accountability.,Political Systems & Governance,auditing-agencies
Authoritarian Capitalism,An economic system combining a free market with authoritarian governance.,Political Systems & Governance,authoritarian-capitalism
Authoritarian Communism,A political system combining centralized control with Marxist-Leninist ideology.,Political Systems & Governance,authoritarian-communism
Authoritarian Systems,Governments characterized by strong central power and limited political freedoms.,Political Systems & Governance,authoritarian-systems
Authoritarianism,Strong central power with limited political freedoms.,Political Systems & Governance,authoritarianism
Authoritarianism and Democracy,A hybrid political model combining elements of democratic procedures with authoritarian rule.,Political Systems & Governance,authoritarianism-and-democracy
Authority Among Groups,The distribution of political power across various groups in a governance system.,Political Systems & Governance,authority-among-groups
Authority in Central Government,The concentration of decision-making and power at the national level.,Political Systems & Governance,authority-in-central-government
Autocracy,A system of government by one person with absolute power.,Political Systems & Governance,autocracy
Autonomous Region,A region with a degree of self-governance separate from the central authority.,Political Systems & Governance,autonomous-region
Ballot Access,Rules governing who can appear on election ballots.,Political Systems & Governance,ballot-access
Ballot Harvesting,Collecting completed ballots to submit them on behalf of voters.,Political Systems & Governance,ballot-harvesting
Ballot Initiative,A process that allows citizens to propose legislation by petition.,Political Systems & Governance,ballot-initiative
Bicameral Legislature,A legislature composed of two separate chambers or houses.,Political Systems & Governance,bicameral-legislature
Bill Debate Timing,The scheduled time for legislative discussions on proposed laws.,Political Systems & Governance,bill-debate-timing
Bipartisanship,Cooperation between major political parties to pass legislation or govern effectively.,Political Systems & Governance,bipartisanship
Budget Compromise,A negotiated agreement between political actors to pass a government budget.,Political Systems & Governance,budget-compromise
Bureaucracy,A system of administration marked by officialism and fixed rules.,Political Systems & Governance,bureaucracy
Bureaucratic State,A state characterized by a rigid and complex administrative system.,Political Systems & Governance,bureaucratic-state
Cabinet,"A group of high-ranking government officials, typically heading executive departments.",Political Systems & Governance,cabinet
Campaign Ethics,Standards and rules guiding the conduct of political campaigns.,Political Systems & Governance,campaign-ethics
Campaign Finance,Funds raised and spent to influence political campaigns.,Political Systems & Governance,campaign-finance
Campaign Finance Laws,Regulations governing the funding and expenditures of political campaigns.,Political Systems & Governance,campaign-finance-laws
Campaign Strategy,A plan to influence voters and win an election.,Political Systems & Governance,campaign-strategy
Campaign Trail,The route and events followed by a candidate during election season.,Political Systems & Governance,campaign-trail
Capitalism,An economic system based on private ownership and free markets.,Political Systems & Governance,capitalism
Capitalist Ownership,The private control of property and production for profit within a capitalist economy.,Political Systems & Governance,capitalist-ownership
Caretaker Functions,Limited duties performed by a temporary government until a new one is elected.,Political Systems & Governance,caretaker-functions
Caretaker Government,An interim government managing affairs until a new one is formed.,Political Systems & Governance,caretaker-government
Caretaker Prime Minister,A temporary leader maintaining government functions during transitions.,Political Systems & Governance,caretaker-prime-minister
Caucus,A meeting of party members to select candidates or decide policy.,Political Systems & Governance,caucus
Central Authority,The governing power located at the top of a political or administrative hierarchy.,Political Systems & Governance,central-authority
Central Government Role,The responsibilities and functions carried out by a national-level government.,Political Systems & Governance,central-government-role
Centralization,The process of concentrating political power and decision-making in a central authority.,Political Systems & Governance,centralization
Centralized Government,A government structure where all major decisions are made by a single national authority.,Political Systems & Governance,centralized-government
Centrism,Political ideology focused on moderation and avoiding extremes.,Political Systems & Governance,centrism
Challenger,A political candidate who runs against an incumbent for public office.,Political Systems & Governance,challenger
Checks and Balances,Mechanisms to prevent one branch of government from becoming too powerful.,Political Systems & Governance,checks-and-balances
Citizen Assembly,A representative group of citizens convened to deliberate policy.,Political Systems & Governance,citizen-assembly
Citizen Confidence,The trust citizens have in political institutions and leadership.,Political Systems & Governance,citizen-confidence
Citizen Consent,"The approval of governance by the governed, often expressed through elections.",Political Systems & Governance,citizen-consent
Citizen Participation,"Involvement of individuals in political processes such as voting, protests, or policymaking.",Political Systems & Governance,citizen-participation
Citizen Petition,A formal request signed by citizens to influence government action or initiate legislation.,Political Systems & Governance,citizen-petition
Citizen Preferences,The opinions and policy desires expressed by the public through surveys or voting.,Political Systems & Governance,citizen-preferences
Citizenship,Legal status granting an individual rights and responsibilities within a political community.,Political Systems & Governance,citizenship
Civic Accountability,The process of holding government officials and institutions responsible to the public.,Political Systems & Governance,civic-accountability
Civic Engagement,Participation in the political and community activities of a society.,Political Systems & Governance,civic-engagement
Civic Virtue,Moral standards expected of citizens in a republic.,Political Systems & Governance,civic-virtue
Civil Code,A comprehensive set of laws governing private rights and matters.,Political Systems & Governance,civil-code
Civil Disobedience,Refusal to obey certain laws as a peaceful form of political protest.,Political Systems & Governance,civil-disobedience
Civil Liberties,Fundamental rights and freedoms protected from government interference.,Political Systems & Governance,civil-liberties
Civil Resistance,"Nonviolent opposition to authority, often for political change.",Political Systems & Governance,civil-resistance
Civil Rights,Basic legal protections and freedoms granted to individuals in a democratic society.,Political Systems & Governance,civil-rights
Civil Rights Movements,Collective efforts to expand and protect the rights of marginalized groups.,Political Systems & Governance,civil-rights-movements
Civil Service,A professional body of government employees tasked with implementing public policies.,Political Systems & Governance,civil-service
Civil Society,Organizations and institutions that operate independently of the government.,Political Systems & Governance,civil-society
Class System,A social hierarchy often reflected in or reinforced by political and economic structures.,Political Systems & Governance,class-system
Classify Political Ideologies,The act of organizing political beliefs into structured categories.,Political Systems & Governance,classify-political-ideologies
Clerical and Civil Authority,Shared governance between religious leaders and elected officials.,Political Systems & Governance,clerical-and-civil-authority
Clientelism,Political support given in exchange for material benefits.,Political Systems & Governance,clientelism
Clientelist Systems,Political arrangements where material goods or favors are exchanged for electoral support.,Political Systems & Governance,clientelist-systems
Climate Activism,Political advocacy aimed at addressing climate change through policy and reform.,Political Systems & Governance,climate-activism
Closed List System,An electoral system where parties control the order of candidates elected.,Political Systems & Governance,closed-list-system
Coalition Government,A government formed by multiple political parties sharing power.,Political Systems & Governance,coalition-government
Coalition Partners,Political parties or actors that join together to form a governing coalition.,Political Systems & Governance,coalition-partners
Codification of Laws,The process of organizing and systematizing legal rules into a formal code.,Political Systems & Governance,codification-of-laws
Codified Law,A written and organized set of legal statutes that govern society.,Political Systems & Governance,codified-law
Colonialism,"Control of one nation by another, often by settlement or exploitation.",Political Systems & Governance,colonialism
Committees,Sub-groups within a legislative body tasked with reviewing and refining legislation.,Political Systems & Governance,committees
Communism,A classless system where property is owned communally.,Political Systems & Governance,communism
Communist Party Structure,The organizational framework of a ruling or influential communist party.,Political Systems & Governance,communist-party-structure
Comparative Politics,A subfield of political science that compares different political systems and institutions.,Political Systems & Governance,comparative-politics
